Integrated_development_environment	['20160601', '20160602', '20160603', '20160604', '20160605']	[1213, 1258, 1032, 711, 776]	4990	48
Behavior-driven_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[1244, 1241, 1028, 328, 425]	4266	-704
Kanban_(development)	['20160601', '20160602', '20160603', '20160604', '20160605']	[1207, 1144, 1012, 388, 459]	4210	-492
Research_and_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[917, 952, 881, 535, 600]	3885	147
Tuckman's_stages_of_group_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[834, 844, 712, 518, 813]	3721	365
Mobile_application_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[733, 813, 721, 664, 584]	3515	423
Android_software_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[657, 617, 550, 425, 448]	2697	149
Integrated_development_environment/trunk	['20160601', '20160602', '20160603', '20160604', '20160605']	[528, 527, 526, 524, 501]	2606	496
V-Model_(software_development)	['20160601', '20160602', '20160603', '20160604', '20160605']	[581, 492, 477, 205, 646]	2401	255
Comparison_of_integrated_development_environments	['20160601', '20160602', '20160603', '20160604', '20160605']	[548, 525, 494, 411, 401]	2379	233
Organization_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[588, 552, 490, 361, 374]	2365	85
Rapid_application_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[585, 504, 467, 271, 297]	2124	-54
Psychosexual_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[484, 448, 430, 310, 356]	2028	164
Real_estate_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[546, 484, 418, 248, 296]	1992	-68
Information_and_communication_technologies_for_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[495, 431, 414, 288, 328]	1956	104
Child_development_stages	['20160601', '20160602', '20160603', '20160604', '20160605']	[393, 416, 393, 296, 381]	1879	261
Training_and_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[449, 559, 340, 229, 245]	1822	-194
Iterative_and_incremental_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[460, 412, 345, 239, 234]	1690	-54
Prenatal_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[425, 382, 357, 245, 278]	1687	73
Pervasive_developmental_disorder	['20160601', '20160602', '20160603', '20160604', '20160605']	[276, 280, 230, 152, 181]	1119	7
Drug_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[299, 272, 240, 125, 118]	1054	-88
List_of_software_development_philosophies	['20160601', '20160602', '20160603', '20160604', '20160605']	[274, 251, 235, 113, 118]	991	-59
Language_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[237, 191, 206, 156, 181]	971	115
Web_application_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[258, 220, 225, 143, 122]	968	12
Mixed-use_development	['20160601', '20160602', '20160603', '20160604', '20160605']	[227, 229, 206, 132, 147]	941	29
