Andy_Griffith	['20160601', '20160602', '20160603', '20160604', '20160605']	[3145, 2122, 1608, 1118, 900]	8893	-1641
The_Misfits_(film)	['20160601', '20160602', '20160603', '20160604', '20160605']	[4482, 792, 449, 340, 287]	6350	-4198
Graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[1116, 1088, 968, 706, 983]	4861	453
Survival_of_the_fittest	['20160601', '20160602', '20160603', '20160604', '20160605']	[583, 504, 434, 578, 321]	2420	246
Piping_and_plumbing_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[621, 608, 487, 270, 253]	2239	-219
Overfitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[584, 549, 435, 257, 302]	2127	-139
Tonga_Fifita	['20160601', '20160602', '20160603', '20160604', '20160605']	[383, 371, 324, 334, 417]	1829	321
Employee_benefit	['20160601', '20160602', '20160603', '20160604', '20160605']	[437, 441, 389, 211, 227]	1705	-51
Sodium_metabisulfite	['20160601', '20160602', '20160603', '20160604', '20160605']	[460, 432, 346, 197, 218]	1653	-131
Net_profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[394, 436, 291, 161, 192]	1474	-186
American_Eagle_Outfitters	['20160601', '20160602', '20160603', '20160604', '20160605']	[364, 346, 283, 186, 234]	1413	-7
Urban_Outfitters	['20160601', '20160602', '20160603', '20160604', '20160605']	[307, 326, 276, 168, 196]	1273	7
Sodium_bisulfite	['20160601', '20160602', '20160603', '20160604', '20160605']	[352, 360, 271, 137, 130]	1250	-174
Graffiti_Bridge_(film)	['20160601', '20160602', '20160603', '20160604', '20160605']	[204, 304, 237, 208, 212]	1165	149
List_of_largest_public_companies_in_Canada_by_profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[287, 339, 269, 127, 129]	1151	-101
Jean_Lafitte	['20160601', '20160602', '20160603', '20160604', '20160605']	[242, 259, 202, 194, 165]	1062	60
For-profit_higher_education_in_the_United_States	['20160601', '20160602', '20160603', '20160604', '20160605']	[266, 216, 240, 108, 154]	984	20
Interference_fit	['20160601', '20160602', '20160603', '20160604', '20160605']	[272, 253, 258, 80, 96]	959	-91
Judy_Parfitt	['20160601', '20160602', '20160603', '20160604', '20160605']	[176, 123, 139, 250, 179]	867	269
