Global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[5079, 5080, 4282, 3598, 3720]	21759	1441
Swarming_(honey_bee)	['20160601', '20160602', '20160603', '20160604', '20160605']	[324, 324, 272, 240, 310]	1470	174
Global_warming_controversy	['20160601', '20160602', '20160603', '20160604', '20160605']	[247, 286, 233, 178, 255]	1199	133
StarCraft_II:_Heart_of_the_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[233, 243, 207, 188, 209]	1080	128
Global_warming_conspiracy_theory	['20160601', '20160602', '20160603', '20160604', '20160605']	[215, 172, 168, 96, 125]	776	2
Housewarming_party	['20160601', '20160602', '20160603', '20160604', '20160605']	[142, 146, 150, 98, 91]	627	51
Swarm_robotics	['20160601', '20160602', '20160603', '20160604', '20160605']	[127, 124, 103, 82, 104]	540	38
Ben_10:_Alien_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[105, 118, 111, 97, 103]	534	88
Global_warming_hiatus	['20160601', '20160602', '20160603', '20160604', '20160605']	[114, 111, 103, 80, 94]	502	52
Effects_of_global_warming_on_humans	['20160601', '20160602', '20160603', '20160604', '20160605']	[115, 96, 76, 55, 86]	428	6
Economics_of_global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[80, 56, 51, 50, 117]	354	82
Extinction_risk_from_global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[72, 88, 50, 40, 51]	301	-19
Mitigation_of_global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[95, 60, 42, 22, 74]	293	-17
Muff_(handwarmer)	['20160601', '20160602', '20160603', '20160604', '20160605']	[54, 57, 56, 50, 56]	273	51
The_Swarm_(novel)	['20160601', '20160602', '20160603', '20160604', '20160605']	[62, 53, 53, 44, 54]	266	36
Swarming_(military)	['20160601', '20160602', '20160603', '20160604', '20160605']	[41, 62, 49, 38, 43]	233	27
The_Swarm_(roller_coaster)	['20160601', '20160602', '20160603', '20160604', '20160605']	[62, 45, 39, 40, 46]	232	18
Willy_warmer	['20160601', '20160602', '20160603', '20160604', '20160605']	[52, 41, 46, 44, 29]	212	26
2009–16_Oklahoma_earthquake_swarms	['20160601', '20160602', '20160603', '20160604', '20160605']	[57, 48, 41, 33, 28]	207	-3
Swarmandal	['20160601', '20160602', '20160603', '20160604', '20160605']	[44, 38, 32, 40, 37]	191	27
Bed_warmer	['20160601', '20160602', '20160603', '20160604', '20160605']	[35, 58, 39, 31, 21]	184	-2
Shark_Swarm	['20160601', '20160602', '20160603', '20160604', '20160605']	[27, 35, 34, 34, 25]	155	31
Anthropogenic_global_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[29, 37, 26, 21, 24]	137	5
Global_warming_in_Russia	['20160601', '20160602', '20160603', '20160604', '20160605']	[32, 34, 13, 14, 9]	102	-30
Glowworm_swarm_optimization	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 21, 19, 21, 15]	99	11
2015_Rugby_World_Cup_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[26, 21, 25, 15, 8]	95	1
Swarm_(simulation)	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 26, 25, 11, 16]	94	10
Global_warming_and_deforestation	['20160601', '20160602', '20160603', '20160604', '20160605']	[30, 15, 18, 10, 17]	90	0
Global_warming_in_Antarctica	['20160601', '20160602', '20160603', '20160604', '20160605']	[23, 22, 12, 17, 16]	90	0
Vocal_warm_up	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 15, 16, 18, 14]	79	17
Candle_warmer	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 15, 26, 13, 9]	78	18
2006_Tel_Aviv_shawarma_restaurant_bombing	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 11, 21, 10, 23]	77	31
The_Swarm_(Star_Trek:_Voyager)	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 13, 17, 11, 17]	73	17
Sudden_stratospheric_warming	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 15, 12, 9, 12]	70	-4
2011_Cricket_World_Cup_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[10, 23, 9, 20, 5]	67	1
2007_Cricket_World_Cup_warm-up_matches	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 10, 17, 17, 8]	64	20
Swarm_(novelette)	['20160601', '20160602', '20160603', '20160604', '20160605']	[7, 11, 5, 15, 26]	64	28
