List_of_most_popular_websites	['20160601', '20160602', '20160603', '20160604', '20160605']	[2476, 2556, 2404, 1881, 2066]	11383	1319
List_of_web_browsers	['20160601', '20160602', '20160603', '20160604', '20160605']	[1654, 1567, 1641, 1091, 1360]	7313	871
Vixen_(web_series)	['20160601', '20160602', '20160603', '20160604', '20160605']	[1008, 981, 858, 803, 887]	4537	559
Static_web_page	['20160601', '20160602', '20160603', '20160604', '20160605']	[876, 866, 803, 748, 758]	4051	567
Vivaldi_(web_browser)	['20160601', '20160602', '20160603', '20160604', '20160605']	[557, 774, 767, 558, 638]	3294	632
Vox_(website)	['20160601', '20160602', '20160603', '20160604', '20160605']	[379, 360, 701, 648, 460]	2548	1070
Food_web	['20160601', '20160602', '20160603', '20160604', '20160605']	[534, 620, 402, 275, 305]	2136	-172
Lynx_(web_browser)	['20160601', '20160602', '20160603', '20160604', '20160605']	[496, 479, 354, 264, 319]	1912	-38
Comparison_of_lightweight_web_browsers	['20160601', '20160602', '20160603', '20160604', '20160605']	[368, 360, 358, 384, 334]	1804	348
Mosaic_(web_browser)	['20160601', '20160602', '20160603', '20160604', '20160605']	[424, 401, 366, 274, 281]	1746	96
List_of_websites_blocked_in_the_United_Kingdom	['20160601', '20160602', '20160603', '20160604', '20160605']	[445, 329, 335, 262, 279]	1650	102
Salon_(website)	['20160601', '20160602', '20160603', '20160604', '20160605']	[350, 332, 270, 342, 294]	1588	224
Comparison_of_web_server_software	['20160601', '20160602', '20160603', '20160604', '20160605']	[444, 340, 301, 204, 220]	1509	-59
Stormfront_(website)	['20160601', '20160602', '20160603', '20160604', '20160605']	[334, 299, 258, 305, 310]	1506	240
Deep_web_(disambiguation)	['20160601', '20160602', '20160603', '20160604', '20160605']	[294, 316, 345, 233, 299]	1487	267
Hunting_Season_(web_series)	['20160601', '20160602', '20160603', '20160604', '20160605']	[205, 201, 138, 310, 310]	1164	352
Expedia_(website)	['20160601', '20160602', '20160603', '20160604', '20160605']	[251, 227, 204, 151, 168]	1001	45
Travel_website	['20160601', '20160602', '20160603', '20160604', '20160605']	[260, 189, 196, 120, 177]	942	44
