Date,Close/Last,Volume,Open,High,Low
10/25/2022,$152.34,74732290,$150.09,$152.49,$149.36
10/24/2022,$149.45,75981920,$147.185,$150.23,$146
10/21/2022,$147.27,86548610,$142.87,$147.8479,$142.649
10/20/2022,$143.39,64521990,$143.02,$145.89,$142.65
10/19/2022,$143.86,61758340,$141.69,$144.9492,$141.5
10/18/2022,$143.75,99136610,$145.49,$146.7,$140.61
10/17/2022,$142.41,85250940,$141.065,$142.9,$140.27
10/14/2022,$138.38,88597970,$144.31,$144.52,$138.19
10/13/2022,$142.99,113224000,$134.99,$143.59,$134.37
10/13/2022,$142.99,113224000,$134.99,$143.59,$134.37
10/13/2022,$0.00,113224000,$134.99,$143.59,$134.37
