fert_grp,height_start,hours_sun,flowered,num_leaves_start,height_final,num_leaves_final
1,5.44,2,0,6,7.91,8
1,4.08,0,0,6,7.11,5
1,8.24,6,0,6,10.99,5
1,8.63,1,0,6,11.31,7
1,3.98,0,1,7,6.81,1
1,6.54,8,1,6,9.63,1
1,4.51,2,1,5,7.63,5
1,8.02,1,1,7,10.87,4
1,7.55,0,1,7,11.6,8
1,7.95,8,0,5,11.79,1
1,6.61,2,0,7,9.98,5
1,3.12,1,0,5,5.52,1
1,9.66,8,0,7,12.34,0
1,7.55,6,0,8,10.87,8
1,6.88,5,0,7,9.83,4
1,6.27,8,1,4,9.75,1
1,5.66,6,0,7,8.46,0
1,3.44,1,1,8,7.32,7
1,7.76,1,0,4,11,6
1,7.28,4,0,4,9.92,2
1,10.48,6,0,6,13.08,6
1,7.19,2,0,7,10.78,5
1,5.32,0,0,7,8.84,8
1,5.2,6,0,8,7.12,1
1,5.37,6,1,6,8.34,8
1,3.09,1,1,4,6.43,2
1,8.7,5,1,4,10.97,4
1,7.51,8,0,7,10.19,7
1,7.23,8,0,5,9.87,0
1,4.26,1,0,8,7.83,8
1,10.5,4,0,4,13.33,8
1,9.15,8,0,4,11.15,2
1,4.59,8,0,5,7.02,6
1,8.23,3,0,7,11.99,2
1,5.21,3,0,7,9.32,0
1,2.83,4,1,4,6.04,4
1,9.14,2,1,6,13.17,4
1,9.34,4,1,7,11.36,8
1,7.19,0,0,7,10.29,8
1,4.72,5,0,7,6.9,8
1,3.71,7,1,8,6.53,5
1,6.57,1,1,7,8.93,6
1,5.94,7,0,6,8.88,6
1,5.41,3,0,7,8.76,4
1,4.96,7,0,4,8.02,6
1,6.67,3,1,7,10.2,2
1,8.3,7,1,6,11.28,3
1,10.64,3,1,6,13.71,1
1,4.36,5,0,7,8.32,1
1,11.05,0,1,7,13.47,3
1,6.37,7,0,6,9.19,1
1,6.48,2,0,5,8.73,2
1,1.8,0,1,4,5.53,0
1,4.35,4,1,6,7.59,6
1,8.28,7,1,5,11.54,5
1,6.4,0,0,7,9.71,0
1,8.08,7,1,4,10.21,2
1,5.27,2,0,5,7.74,4
1,9.85,8,0,7,13.41,6
1,9.2,5,0,8,10.88,1
1,5.26,0,1,8,8.64,6
1,7.01,7,0,7,9.06,0
1,8.5,1,0,8,11.4,8
1,7.61,7,1,4,10.93,1
1,2.58,5,0,4,5.78,3
2,5.2,5,1,7,8.38,1
2,8.56,4,1,6,10.53,4
2,3.39,1,1,4,5.73,1
2,8.49,7,0,7,10.27,7
2,8.86,4,0,6,11.25,8
2,4.97,7,0,6,7.61,1
2,6.72,5,1,8,9.44,8
2,7.75,7,1,5,10.22,5
2,5.48,5,0,4,8.89,2
2,4.51,2,1,7,7.58,7
2,4.71,6,0,7,6.91,1
2,7.6,8,0,7,9.17,4
2,5.67,7,0,5,8.15,6
2,4.61,4,0,8,7.57,6
2,4.35,4,1,7,7.89,8
2,8.13,2,0,6,11,7
2,4.37,6,0,7,7.29,2
2,5.19,3,0,7,7.97,8
2,4.48,6,0,4,7.35,6
2,6.92,2,0,7,9.89,1
2,5.78,5,1,6,8.63,6
2,5.49,1,0,8,8.08,6
2,0.88,5,0,6,2.64,1
2,5.1,5,1,7,7.19,7
2,9.37,4,1,4,12.88,6
2,9.4,7,1,5,11.86,7
2,-1.84,4,0,7,0.48,1
2,4.45,6,1,8,6.67,4
2,9.67,8,0,4,13.04,7
2,5.48,6,1,6,7.72,1
2,8.87,7,0,5,11.03,2
2,6.19,6,1,5,9,3
2,4.62,3,0,5,7.33,3
2,4.9,7,1,8,6.76,7
2,7.59,7,1,8,10.47,0
2,8.99,2,0,5,12.23,0
2,6.59,6,1,7,9.4,4
2,3.59,2,1,5,6.69,0
2,2.54,2,0,8,6.6,7
2,7.22,8,0,4,10.64,0
2,8.43,0,0,7,10.54,8
2,10.87,8,0,8,14.18,8
2,8.98,7,0,7,12.12,7
2,11.64,2,1,4,14.58,2
2,8.96,3,0,5,11.24,8
2,5.61,8,1,7,7.85,3
2,6.02,6,0,6,8.03,7
2,6.03,6,1,5,9.47,1
2,6.52,6,0,6,9.1,5
2,8.14,4,0,8,10.65,4
2,6.83,4,0,4,9.49,8
2,5.62,1,1,8,6.94,6
2,7.9,5,1,7,10.33,5
2,7.39,7,1,6,10.75,2
2,4.79,2,1,6,7.93,1
2,7.58,1,0,7,9.22,8
2,9.07,3,0,5,11.61,0
2,6.44,2,1,5,9.39,4
2,7.36,4,0,4,9.76,6
2,8.32,5,0,4,10.78,4
2,6.53,7,1,4,8.91,3
2,4.39,8,1,8,6.61,2
2,6.72,1,0,6,9.82,0
2,8.89,4,0,4,10.8,6
2,7.23,4,0,8,9.42,7
