id,X,Y,month,day,temp,humidity,wind
1,6.309813732,4.512422446,mar,fri,8.2,51,6.7
2,6.047158094,4.386385792,oct,tue,18,33,0.9
3,7.035954043,4.459339531,oct,sat,14.6,33,1.3
4,7.737249752,5.386428048,mar,fri,8.3,97,4
5,7.046100744,6.737435854,mar,sun,11.4,99,1.8
6,8.919142921,6.793629357,aug,sun,22.2,29,5.4
7,7.053397737,5.256608123,aug,mon,24.1,27,3.1
8,7.844135233,6.069006865,aug,mon,8,86,2.2
9,7.356892432,5.00421248,sep,tue,13.1,63,5.4
10,7.175825767,4.844435807,sep,sat,22.8,40,4
11,6.446995638,5.012376277,sep,sat,17.8,51,7.2
12,7.424553874,4.708070852,sep,sat,19.3,38,4
13,5.935986111,5.264111839,aug,fri,17,72,6.7
14,5.701273314,5.719931311,sep,mon,21.3,42,2.2
15,6.861479813,4.962728113,sep,wed,26.4,21,4.5
16,5.238456825,5.786193985,sep,fri,22.9,44,5.4
17,5.172823052,5.342252744,mar,sat,15.1,27,5.4
18,8.384357261,4.962766554,oct,mon,16.7,47,4.9
19,6.81116425,3.14939022,mar,wed,15.9,35,4
20,5.60744989,3.193951325,apr,sat,9.3,44,4.5
21,6.008502513,4.691566285,sep,tue,18.3,40,2.7
22,4.818171518,4.971226115,sep,mon,19.1,38,2.7
23,7.63238732,4.18087415,jun,sun,21,44,4.5
24,7.618624812,3.436013876,aug,sat,19.5,43,5.8
25,7.292822477,4.336182367,aug,sat,23.7,32,5.8
26,7.375760196,4.599119041,aug,sun,16.3,60,5.4
27,7.693015215,4.844725965,sep,fri,19,34,5.8
28,6.77004285,3.520796322,sep,mon,19.4,48,1.3
29,5.849824942,3.312647656,sep,sat,30.2,24,2.7
30,6.891687134,3.148011761,sep,sun,22.8,39,3.6
31,6.375724659,3.316282314,sep,fri,25.4,24,3.6
32,5.452318286,3.490692126,sep,mon,11.2,78,7.6
33,6.464123001,3.973294054,sep,fri,20.6,37,1.8
34,5.2541703,3.720002039,sep,sun,17.7,39,3.6
35,5.584965768,2.571405812,sep,mon,21.2,32,2.7
36,5.956216999,3.535532533,sep,tue,18.2,62,4.5
37,5.246991516,3.750172399,oct,tue,21.7,24,4.5
38,7.779527795,4.257410444,oct,fri,11.3,60,5.4
39,7.629502728,3.794121408,oct,sat,17.8,27,4
40,3.911994152,3.920777089,mar,tue,14.1,43,2.7
41,3.970456265,3.171589478,jul,tue,23.3,37,3.1
42,3.673477202,4.644244809,aug,sat,18.4,42,6.7
43,3.828875439,4.272824456,aug,tue,16.6,54,5.4
44,3.340178722,4.0557521,sep,sat,19.6,48,2.7
45,4.194438595,3.382989165,sep,wed,12.9,74,4.9
46,5.786243564,5.017698109,sep,wed,25.9,24,4
47,5.909752614,5.93528854,sep,mon,14.7,70,3.6
48,6.797353332,6.943962427,jul,mon,23,36,3.1
49,4.410360195,4.202164016,mar,mon,11.8,35,1.8
50,3.375964135,3.725366178,mar,mon,11,46,5.8
51,3.020048738,3.613227332,sep,thu,20.8,17,1.3
52,4.12773914,3.577618461,aug,sun,21.5,34,2.2
53,3.542782399,3.044137106,aug,wed,20.4,42,4.9
54,3.341093012,2.482092455,aug,wed,20.4,42,4.9
55,3.914171916,2.268105935,aug,thu,17.6,45,3.6
56,3.833221811,2.096756961,sep,thu,27.7,24,2.2
57,3.362576495,2.93770449,sep,tue,17.8,63,4.9
58,4.027722277,3.735904036,oct,sun,13.8,50,2.7
59,2.437768618,1.25628015,feb,mon,13.9,40,5.4
60,2.426482595,2.238542573,feb,fri,12.3,51,0.9
61,1.352011746,2.577983821,mar,sun,11.5,39,5.8
62,2.223089183,1.166153273,mar,sun,5.5,59,6.3
63,1.917874146,1.868066338,aug,thu,18.8,35,4.9
64,1.982317109,2.378956077,aug,sun,20.8,33,2.7
65,1.492498029,1.621197486,aug,mon,23.1,31,3.1
66,1.870341773,2.240501819,aug,thu,18.6,44,4.5
67,1.111783252,2.803087922,sep,fri,23,37,4.5
68,2.762582471,2.557124478,sep,fri,19.6,33,5.4
69,1.734663743,2.023946757,sep,fri,19.6,33,6.3
70,3.109821973,4.96573906,mar,fri,17.2,26,4.5
71,3.29648193,4.782894441,mar,fri,15.8,27,7.6
72,3.165514195,4.793294239,sep,fri,17.7,37,3.6
73,4.563181416,4.139708923,mar,fri,15.6,25,6.3
74,4.903667551,4.192484656,aug,tue,17.3,43,4.5
75,4.736428004,3.958419858,sep,fri,27.6,30,1.3
76,8.513114507,8.239465156,feb,thu,6.7,79,3.1
77,9.252159557,9.905666713,feb,fri,15.7,43,3.1
78,1.202599611,3.504573968,mar,mon,8.3,72,3.1
79,0.58941342,1.525647554,aug,fri,14.7,66,2.7
80,1.978888906,1.824259909,aug,tue,21.6,19,6.7
81,1.713649596,2.086800839,aug,sun,19.5,39,6.3
82,1.02867081,2.871668754,aug,sun,17.9,44,2.2
83,1.931277069,2.261391054,aug,tue,18.6,51,4.5
84,0.46511708,2.683683691,aug,wed,16.6,47,0.9
85,1.521770676,1.386539367,aug,thu,20.2,45,3.6
86,1.207627234,2.041750957,sep,thu,21.5,15,0.9
87,0.737851111,2.383290416,sep,thu,25.4,27,2.2
88,1.484875506,2.094222071,sep,thu,22.4,34,2.2
89,0.068452439,2.686835035,sep,sun,25.3,36,3.6
90,5.22079795,5.14891359,mar,sat,17.4,25,4.9
91,5.152092534,4.213054167,aug,sat,14.7,59,5.8
92,8.068416321,6.706983503,mar,fri,17.4,24,5.4
